Entity,Precision Change,Recall Change,F1 Change
B-DATE,0.3137254901960784,0.027257240204429302,0.050156739811912224
B-EVENT,0.0,0.0,0.0
B-LOC,0.26865671641791045,0.030226700251889168,0.05433962264150943
B-ORG,0.3058823529411765,0.0325,0.05875706214689266
B-PER,0.27547169811320754,0.07025986525505294,0.11196319018404909
B-PRO,0.75,0.008849557522123894,0.01749271137026239
I-DATE,0.40963855421686746,0.44502617801047123,0.42659974905897113
I-EVENT,0.0,0.0,0.0
I-LOC,0.0,0.0,0.0
I-ORG,-1.0,-0.009615384615384616,-0.01904761904761905
I-PER,0.4,0.01384083044982699,0.026755852842809364
I-PRO,0.0,0.0,0.0
O,0.014593728579363141,-0.008680034111071433,0.0055804254163749345
