Entity,Precision Change,Recall Change,F1 Change
B-DATE,-0.24968866749688667,0.32029541939956274,0.3090345255323548
B-EVENT,-0.6,-0.21428571428571427,-0.3157894736842105
B-LOC,0.3978494623655914,0.07863974495217853,0.1313220940550133
B-ORG,-0.03140096618357485,-0.0005063894432694865,-0.0012035080980731042
B-PER,-0.676605504587156,0.15768579340257552,0.1758974358974359
B-PRO,-0.25,-0.020541987286717966,-0.038192158036516016
I-DATE,0.563265306122449,0.5948275862068966,0.5786163522012578
I-EVENT,0.3333333333333333,0.017543859649122806,0.03333333333333333
I-LOC,0.0,0.0,0.0
I-ORG,-0.015384615384615385,-0.011344333899538948,-0.021241297165463753
I-PER,-0.6984126984126984,0.03494072047423621,0.05769089977304341
I-PRO,-0.14444444444444443,0.011250289955926696,0.012478031634446385
O,0.02757776139748469,-0.014436493567475894,0.01083553083660993
