Entity,Precision Change,Recall Change,F1 Change
B-DATE,-0.02040234287498821,0.01980174087944249,0.026394454366107295
B-EVENT,0.0,0.0,0.0
B-LOC,-0.03539203455057477,0.037525737386109925,0.055279780619765614
B-ORG,-0.1880704765992457,-0.014831533275023179,-0.028198874585332337
B-PER,0.043166099906732314,0.07068160041728323,0.07227910475320587
B-PRO,0.35591551547120626,0.05102915951972556,0.08913192842630725
I-DATE,0.011427056550316506,0.041432210237216216,0.027198540527960058
I-EVENT,-1.0,-0.0072992700729927005,-0.014492753623188406
I-LOC,0.0,0.0,0.0
I-ORG,-0.18514056224899594,0.0012763382296308518,0.002467442349491515
I-PER,0.12596966512758287,0.0006603513639343635,0.001844226748541563
I-PRO,-0.015258370542950928,0.011527717219708015,0.01840643420469866
O,-0.046590028191944466,-0.005344485212142369,-0.031076653895306228
