Entity,Precision Change,Recall Change,F1 Change
B-DATE,0.03187847537082633,-0.08882216284525785,-0.04837275179903211
B-EVENT,0.3821034854435243,0.08543417366946779,0.1384897668952048
B-LOC,-0.16835700593846648,-0.0803925255089965,-0.11076148643951955
B-ORG,-0.017810846911059774,0.08257557847040224,0.08834232436538436
B-PER,-0.011831811239254031,-0.08024136861133202,-0.05185960098030201
B-PRO,-0.18367621882830998,0.0740588693416406,0.06724343230278966
I-DATE,0.11287003857412836,-0.09857205508756273,-0.010011247339358542
I-EVENT,0.013689362123108118,0.0977212060561472,0.14387654196616587
I-LOC,0.33713625414440884,0.08502024291497975,0.13530801519710153
I-ORG,-0.023844721179585193,0.07742541386217532,0.09778002438161404
I-PER,0.021725981364999536,0.08391823514572869,0.08811173473312073
I-PRO,-0.07236511738530932,0.05945647875514756,0.0379896678386594
O,-0.015673289822727754,-0.0476753618023702,-0.029270316443627764
