Entity,Precision Change,Recall Change,F1 Change
B-DATE,0.1848630064766924,0.5227375056280954,0.424599158320447
B-EVENT,0.5367804104227266,0.3710691823899371,0.4253750241565713
B-LOC,0.2220767788119945,0.42123665807876337,0.3857618319805748
B-ORG,0.24231787231736074,0.3350797809002143,0.32841257196812196
B-PER,0.29926624748607106,0.3252032520325203,0.3140440312213658
B-PRO,0.23069664992735,0.34632461766156886,0.391301463405612
I-DATE,0.36728372623414374,0.1020301926080166,0.27172742729059696
I-EVENT,-0.115636348578399,0.3136020151133501,0.35777257117763867
I-LOC,0.3415175941157317,0.19120135363790186,0.24383652088296523
I-ORG,0.27115465996519766,0.36536601096420507,0.3850370055093617
I-PER,0.2732268020206535,0.43774872086412736,0.4556749776140164
I-PRO,0.2973571246856311,0.5543257284843008,0.493069667679514
O,0.14623189625562805,-0.03899556479738886,0.06694382935976995
