Entity,Precision Change,Recall Change,F1 Change
B-DATE,0.052883832334203906,0.08043694141012914,0.06966952590050413
B-EVENT,0.8097476597476597,0.3974358974358974,0.5264263385855908
B-LOC,0.14213624005009318,0.10526315789473684,0.12193922813484936
B-ORG,0.3803757469601871,0.24976258309591648,0.3041131124862133
B-PER,0.18614056716582517,0.13505402160864344,0.15723871095003128
B-PRO,0.21574325438511888,0.3881278538812785,0.44372807463843955
I-DATE,0.08750597440350638,0.0035087719298245723,0.046925846991693
I-EVENT,0.05713678844519976,0.29439252336448596,0.32121788230291504
I-LOC,0.432876712328767,0.1643835616438356,0.25385032118257106
I-ORG,0.18090170205648454,0.30739795918367346,0.32507671929162474
I-PER,0.24540271762243715,0.6027397260273972,0.6055390866149163
I-PRO,0.214501032272837,0.3818537859007832,0.30151405099227235
O,0.04404240415240024,-0.014239482200647191,0.017965571225185273
