Entity,Precision Change,Recall Change,F1 Change
B-CARDINAL,0.47333333333333333,0.46710526315789475,0.47019867549668876
B-DATE,0.5205930807248764,0.6810344827586207,0.5901027077497666
B-EVENT,0.2222222222222222,0.023391812865497075,0.042328042328042326
B-FAC,0.0,0.0,0.0
B-GPE,0.44629822732012514,0.31149927219796214,0.3669095585083583
B-LANGUAGE,0.4583333333333333,0.16923076923076924,0.24719101123595505
B-LAW,0.0,0.0,0.0
B-LOC,0.0,0.0,0.0
B-MONEY,0.0,0.0,0.0
B-NORP,0.6193548387096774,0.22018348623853212,0.3248730964467005
B-ORDINAL,0.6447368421052632,0.4083333333333333,0.5
B-ORG,0.29411764705882354,0.08695652173913043,0.1342281879194631
B-PERCENT,0.0,0.0,0.0
B-PERSON,0.28423566878980894,0.44597126795752656,0.34719183078045224
B-PRODUCT,0.46153846153846156,0.037037037037037035,0.06857142857142857
B-QUANTITY,0.2222222222222222,0.027777777777777776,0.04938271604938271
B-TIME,0.0,0.0,0.0
B-TITLE,0.2,0.017921146953405017,0.03289473684210526
B-WORK_OF_ART,0.4722222222222222,0.05,0.09042553191489362
I-CARDINAL,0.5,0.23076923076923078,0.3157894736842105
I-DATE,0.7025641025641025,0.2745490981963928,0.39481268011527376
I-EVENT,0.5235602094240838,0.303951367781155,0.38461538461538464
I-FAC,0.7272727272727273,0.07511737089201878,0.13617021276595745
I-GPE,0.574468085106383,0.07377049180327869,0.13075060532687652
I-LANGUAGE,1.0,0.06666666666666667,0.125
I-LAW,1.0,0.0967741935483871,0.17647058823529413
I-LOC,0.47368421052631576,0.09,0.15126050420168066
I-MONEY,1.0,0.21428571428571427,0.35294117647058826
I-NORP,0.0,0.0,0.0
I-ORDINAL,0.0,0.0,0.0
I-ORG,0.4885844748858447,0.16823899371069181,0.25029239766081873
I-PERCENT,0.0,0.0,0.0
I-PERSON,0.21940928270042195,0.04262295081967213,0.07137954701441318
I-PRODUCT,0.5,0.020833333333333332,0.04
I-QUANTITY,1.0,0.189873417721519,0.3191489361702128
I-TIME,0.5,0.2,0.2857142857142857
I-TITLE,0.625,0.023809523809523808,0.045871559633027525
I-WORK_OF_ART,0.2604166666666667,0.08787346221441125,0.1314060446780552
O,0.08828721058350164,-0.0267067003792667,0.048188950990821655
