Entity,Precision Change,Recall Change,F1 Change
B-CARDINAL,-0.4864864864864865,-0.15,-0.22929936305732485
B-DATE,-0.15719696969696967,0.7167713239141811,0.5412600582092107
B-EVENT,0.0,0.0,0.0
B-FAC,0.0,0.0,0.0
B-GPE,0.24775707384403037,0.07802651597478809,0.11867768595041323
B-LANGUAGE,0.0,0.0,0.0
B-LAW,0.0,0.0,0.0
B-LOC,0.0,0.0,0.0
B-MONEY,0.0,0.0,0.0
B-NORP,0.0,0.0,0.0
B-ORDINAL,0.0,0.0,0.0
B-ORG,0.0,0.0,0.0
B-PERCENT,0.0,0.0,0.0
B-PERSON,0.20103092783505155,0.08722664015904573,0.12166377816291161
B-PRODUCT,0.0,0.0,0.0
B-QUANTITY,0.0,0.0,0.0
B-TIME,0.0,0.0,0.0
B-TITLE,0.0,0.0,0.0
B-WORK_OF_ART,-0.16666666666666666,-0.006329113924050633,-0.012195121951219513
I-CARDINAL,0.0,0.0,0.0
I-DATE,0.0,0.0,0.0
I-EVENT,0.0,0.0,0.0
I-FAC,0.0,0.0,0.0
I-GPE,0.0,0.0,0.0
I-LANGUAGE,0.0,0.0,0.0
I-LAW,0.0,0.0,0.0
I-LOC,0.0,0.0,0.0
I-MONEY,0.0,0.0,0.0
I-NORP,0.0,0.0,0.0
I-ORDINAL,0.0,0.0,0.0
I-ORG,0.44,0.004706889174154899,0.009314140558848433
I-PERCENT,0.0,0.0,0.0
I-PERSON,-0.2716535433070866,0.00759491359231757,0.014417567317317987
I-PRODUCT,0.0,0.0,0.0
I-QUANTITY,0.0,0.0,0.0
I-TIME,0.0,0.0,0.0
I-TITLE,0.0,0.0,0.0
I-WORK_OF_ART,0.0,0.0,0.0
O,0.008432564316086077,-0.004112009824914442,0.0044269620302380686
