Entity,Precision Change,Recall Change,F1 Change
B-CARDINAL,-0.051185048604062366,0.045383867832847424,0.005130499621150975
B-DATE,0.014702042632239731,0.004524083898456599,0.009816631884930094
B-EVENT,0.2092089702641227,0.020395885000459264,0.03699070868451655
B-FAC,0.0,0.0,0.0
B-GPE,0.003551621282740003,0.129488039185562,0.07148405107218492
B-LANGUAGE,0.18522341529504716,0.08620689655172414,0.1185666966299942
B-LAW,0.0,0.0,0.0
B-LOC,-0.02270796148928267,-0.06962794229309036,-0.09869191141811601
B-MONEY,0.0,0.0,0.0
B-NORP,-0.01313084198815806,0.0077570313419369485,0.0006641824457473966
B-ORDINAL,0.03345057571451071,0.042226165355841117,0.038960799589020434
B-ORG,-0.03778490419381775,-0.06239390441006695,-0.07343592193124307
B-PERCENT,0.9005555555555556,0.1111111111111111,0.19764437285659697
B-PERSON,-0.008815884854389111,0.0436946810744504,0.01862240247718361
B-PRODUCT,-0.09120099266651693,-0.02816627128846086,-0.044561913962579774
B-QUANTITY,-0.12436974789915964,-0.05387488328664799,-0.08969656431261068
B-TIME,0.0,0.0,0.0
B-TITLE,0.04446837867311165,0.0172264624504236,0.026852697181383917
B-WORK_OF_ART,-0.027909708850596626,-0.07126197323430175,-0.09974027296857128
I-CARDINAL,-0.1208440578403191,-0.3688118811881188,-0.31161947664672335
I-DATE,-0.01908236818189446,0.06227163890644072,0.04567896611731459
I-EVENT,-0.0520093125339276,-0.12162152450899366,-0.10125478969257101
I-FAC,-0.19637516174422143,-0.03453136011275547,-0.0596076125432031
I-GPE,0.22766897869077052,0.030213432017803632,0.054669890776489344
I-LANGUAGE,-1.0,-0.125,-0.2222222222222222
I-LAW,0.0024691358024691024,-0.06579520697167757,-0.10390480978716274
I-LOC,0.1410880442636977,0.027801927117293332,0.04607624058838969
I-MONEY,-0.3284167877948566,-0.1663379355687048,-0.26156807211212973
I-NORP,0.06776391924906776,0.006188118811881188,0.011321553515002232
I-ORDINAL,0.0,0.0,0.0
I-ORG,-0.0728596433640879,0.017035717939536565,-0.010019576434357746
I-PERCENT,0.0,0.0,0.0
I-PERSON,-0.06486075333247143,-0.07758951837096761,-0.10341589309240176
I-PRODUCT,-0.3333333333333333,-0.06,-0.1016949152542373
I-QUANTITY,0.04470425274065615,0.08572095920274059,0.09169090229930799
I-TIME,-1.0,-0.5,-0.6666666666666666
I-TITLE,-0.1295433608049995,0.04435133457479826,0.06837068493031231
I-WORK_OF_ART,0.040865407632864226,0.07302270011947432,0.05844321937311314
O,-0.007778451566460509,-0.003995683423051566,-0.006249026902855337
