Entity,Precision Change,Recall Change,F1 Change
B-CARDINAL,-0.49935864780196343,-0.15479249302778714,-0.23670918485523518
B-DATE,-0.2357665642369961,-0.3546262603595651,-0.32199210243009474
B-EVENT,-0.3059729875256323,-0.009822484768001044,-0.025238425799786152
B-FAC,0.08382170435741865,0.017543859649122806,0.028947009874715133
B-GPE,-0.2370027454654794,-0.3898407462614695,-0.30550419369438175
B-LANGUAGE,-0.49073926343885105,-0.353966229915597,-0.41662285350410055
B-LAW,0.0,0.0,0.0
B-LOC,-0.09298789288490195,0.003488000869452993,0.004128968519086914
B-MONEY,0.23655913978494622,0.06451612903225806,0.10138248847926266
B-NORP,-0.34995736352457013,-0.22572985243236357,-0.2757824711407535
B-ORDINAL,-0.122886772958689,-0.15806638629942854,-0.14965448633657485
B-ORG,-0.27353568045968113,-0.03994640624724014,-0.0821099129967154
B-PERCENT,-0.6365055022411217,-0.004374497184231697,-0.019529322168692506
B-PERSON,-0.17152429878631134,-0.38638393676522037,-0.27528157452139856
B-PRODUCT,-0.44838041681486146,-0.04484277691698223,-0.0851173134422645
B-QUANTITY,0.077720207253886,0.015544041450777202,0.025906735751295335
B-TIME,0.0,0.0,0.0
B-TITLE,-0.18228819168433485,-0.021738119276018777,-0.03864311212982989
B-WORK_OF_ART,-0.12230228055217998,-0.00023536027901559578,-0.004862524142179497
I-CARDINAL,-0.3089983493690182,-0.42496194824961947,-0.40953637706061297
I-DATE,-0.3599169767615924,-0.21194062401820382,-0.26990207001036837
I-EVENT,-0.3534154148082681,-0.20799620982877284,-0.26153416482687486
I-FAC,-0.3804091029421144,-0.05166046474037999,-0.09187160589379248
I-GPE,-0.42031595886730866,-0.11162976697116907,-0.1782611765962432
I-LANGUAGE,0.0,0.0,0.0
I-LAW,-0.5457516339869282,-0.033126293995859216,-0.06229857359303605
I-LOC,-0.3574669241355585,-0.03412654328443261,-0.06449076794913358
I-MONEY,-0.2128505370661194,0.05802347694930815,0.05019024603325466
I-NORP,-0.06603697770507708,0.00368570416153178,0.005387152110230079
I-ORDINAL,0.0,0.0,0.0
I-ORG,-0.30478404829101224,-0.15791676366634108,-0.20948856907134433
I-PERCENT,0.0,0.0,0.0
I-PERSON,-0.12216448626257037,-0.11593404650331667,-0.12101447847893301
I-PRODUCT,0.025326350347846478,0.005159071367153913,0.008571995502348039
I-QUANTITY,-0.4821658424914684,-0.2326164546536103,-0.32437270095669424
I-TIME,0.5568862275449101,0.10778443113772455,0.18056195301704284
I-TITLE,-0.3479293258297789,-0.027515600198574075,-0.050604782530147996
I-WORK_OF_ART,-0.2329545692369292,-0.05326839493007673,-0.08747905387502597
O,-0.12157088791482629,-0.07523140015496388,-0.10396344565479376
