Entity,Precision Change,Recall Change,F1 Change
B-CARDINAL,0.17400373545671982,0.31400053951982737,0.3360731502694908
B-DATE,0.2823233273717619,-0.028289734443123216,0.15180336089939284
B-EVENT,0.12591614027822667,0.1929321872015282,0.23323793872629248
B-FAC,0.15983779360212264,0.07076799356654603,0.09724760188193597
B-GPE,0.13535592863264662,0.2805367148333825,0.2290693102014153
B-LANGUAGE,0.07925615362503613,0.44937319189971076,0.4675935305616424
B-LAW,0.19880394780863167,0.04918032786885246,0.0707000850061524
B-LOC,0.2363718662542117,0.1013745704467354,0.1413637801162189
B-MONEY,0.6029147519736067,0.2608695652173913,0.3109303786834564
B-NORP,0.09736033316645337,0.217695977035755,0.2598196471018311
B-ORDINAL,0.25772440116531925,0.4912012241775058,0.48003751884528595
B-ORG,-0.049303930718337774,0.14269336281374115,0.1463069085808303
B-PERCENT,-0.2009768474370076,0.4152542372881356,0.32222483322790707
B-PERSON,0.14195287229582892,0.18255930399949927,0.1635920227869867
B-PRODUCT,-0.1839758809255685,0.16151850978542795,0.1886983340506425
B-QUANTITY,0.4872291573750213,0.5714285714285714,0.6356587202375821
B-TIME,0.36549473202015575,0.184375,0.2440887892158134
B-TITLE,0.23513275076686843,0.07900626678603402,0.11748407178025014
B-WORK_OF_ART,0.20859009268479334,0.07597791430126759,0.1112785364545312
I-CARDINAL,0.40381039961084697,0.21705426356589147,0.2791685077276023
I-DATE,0.28202451963028496,0.5880339145736683,0.5912880246351813
I-EVENT,0.17178636073119558,0.4185771218877007,0.3801863401407557
I-FAC,0.21699685043095374,0.19603498542274053,0.20523506962809546
I-GPE,-0.027576804732572624,0.2538165405548918,0.274425573084106
I-LANGUAGE,0.2120271307731172,0.09125964010282776,0.12753648193525907
I-LAW,0.24322307693308545,0.09870740305522914,0.09568919610944927
I-LOC,0.3305236059278999,0.1989100817438692,0.24798034962201074
I-MONEY,0.6835889270590536,0.37880794701986753,0.47023062390869896
I-NORP,0.13219313409221875,0.05252562225475842,0.07325715370797421
I-ORDINAL,0.03403289846851957,0.013289036544850499,0.019114367633004142
I-ORG,0.03898324453140822,0.3227623434153783,0.3144876126602576
I-PERCENT,0.0,0.0,0.0
I-PERSON,0.11301300643351767,0.22492239467849223,0.24585283625410653
I-PRODUCT,0.12573042412799199,0.06483790523690773,0.08441250316562146
I-QUANTITY,0.09415568651564521,0.5253959584926269,0.5917292095505429
I-TIME,0.35804860012735457,0.1170018281535649,0.17322832922198025
I-TITLE,0.17371513921885529,0.08787781004625148,0.11520593110884624
I-WORK_OF_ART,0.15365501811730398,0.19566454255803367,0.2197436468980084
O,0.13341586288244234,-0.059425548014493956,0.05831255684915215
