Entity,Precision Change,Recall Change,F1 Change
B-CARDINAL,0.14748651079510328,0.1985867446393762,0.1927874009925048
B-DATE,0.2317019240646464,0.045038655223774815,0.14645817019960083
B-EVENT,-0.03607871426926945,0.2905116619855904,0.31713080737266347
B-FAC,0.30412737608455964,0.15467449828683308,0.204994700443732
B-GPE,0.2088485842682361,0.30146590184831107,0.2546973309244502
B-LANGUAGE,0.02358728165805679,0.5816859804589867,0.5523930643248308
B-LAW,0.24735064935064932,0.07142857142857142,0.09660433598950777
B-LOC,0.31662849158845346,0.1742811783383313,0.22460664329552793
B-MONEY,0.5024841017488076,0.2635135135135135,0.3074749928682513
B-NORP,0.21809064859341298,0.4332006249055082,0.40673597176003107
B-ORDINAL,0.2293170042781043,0.515426997245179,0.44992852163920893
B-ORG,0.08936436777468554,0.331693011233721,0.327517547973325
B-PERCENT,-0.1499872528030256,0.29698375870069604,0.2484684655297092
B-PERSON,0.17553887674838575,0.15643224037384623,0.16738867719029338
B-PRODUCT,-0.0859891390990834,0.15816174276335423,0.19372308365657165
B-QUANTITY,0.07580340516337836,0.2729498164014688,0.28424175056929546
B-TIME,0.41227870222627455,0.2102803738317757,0.2745555514948952
B-TITLE,0.2014808105533923,0.2128463476070529,0.2611375818327254
B-WORK_OF_ART,-0.034428640010126216,0.12952907493335966,0.15383765389619833
I-CARDINAL,0.4428787843263503,0.3543091655266758,0.3902429379126529
I-DATE,0.08194416120118497,0.5283126865366532,0.4555585558401094
I-EVENT,0.15940014117933193,0.42798334437399455,0.3800782231167837
I-FAC,0.4013726347926582,0.29017919155438254,0.33503142417652104
I-GPE,0.02080463818594913,0.3276468155500414,0.3264304808316941
I-LANGUAGE,0.3291635509940086,0.17209302325581396,0.22322046630860712
I-LAW,0.686047585303528,0.20637119113573407,0.2853753731829339
I-LOC,-0.31382521806694785,0.2511716461628588,0.2852104813557719
I-MONEY,0.7933437692571484,0.5151006711409396,0.6028483671500253
I-NORP,0.17820074229942207,0.11386455885494552,0.13887904560086306
I-ORDINAL,0.03205128205128205,0.01282051282051282,0.018315018315018316
I-ORG,0.19607438185391407,0.409281967554799,0.37018667316963005
I-PERCENT,0.0,0.0,0.0
I-PERSON,0.19887325918300788,0.31417209944004115,0.3029139827656903
I-PRODUCT,0.19586013235203203,0.06353035786087656,0.09315178461596464
I-QUANTITY,0.14610588406133607,0.5109135004042037,0.5470074679119618
I-TIME,0.46472422062350127,0.17985611510791366,0.25268262852359424
I-TITLE,0.2755134414207471,0.19200515796260478,0.22582858221193605
I-WORK_OF_ART,0.02788473395522989,0.2158396662196394,0.21835405733861643
O,0.14205482342014664,-0.0405772723738983,0.06596245954805557
